         16367159 function calls (16039132 primitive calls) in 18.579 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    62882    0.191    0.000    0.245    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/generic.py:278(__init__)
    14811    0.044    0.000    0.244    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/managers.py:287(get_dtypes)
     1234    0.001    0.000    0.244    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/arrays/categorical.py:3069(<genexpr>)
      617    0.008    0.000    0.242    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/arrays/categorical.py:3005(factorize_from_iterable)
      848    0.006    0.000    0.241    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/managers.py:557(copy)
     3089    0.044    0.000    0.240    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexes/base.py:475(__new__)
     4107    0.035    0.000    0.234    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexers/utils.py:419(check_array_indexer)
    27994    0.038    0.000    0.234    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/_config/config.py:145(_get_option)
     4936    0.018    0.000    0.230    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/base.py:180(fillna)
27765/11106    0.084    0.000    0.229    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/_array_api.py:237(_isdtype_single)
    25297    0.150    0.000    0.229    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/numpy/_core/_methods.py:99(_clip)
    24760    0.058    0.000    0.228    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/series.py:1095(__getitem__)
    46278    0.063    0.000    0.227    0.000 /usr/lib/python3.10/warnings.py:165(simplefilter)
     1854    0.052    0.000    0.225    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/managers.py:708(_slice_take_blocks_ax0)
      617    0.013    0.000    0.225    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/arrays/categorical.py:371(__init__)
     1853    0.016    0.000    0.225    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexes/base.py:3820(get_indexer)
     2169    0.004    0.000    0.224    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/frame.py:12590(values)
    15036    0.047    0.000    0.223    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/base.py:341(setitem_inplace)
     3776    0.042    0.000    0.220    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/managers.py:1216(_iset_split_block)
     2169    0.013    0.000    0.220    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/managers.py:1633(as_array)
    16235    0.035    0.000    0.214    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexes/base.py:5437(_can_hold_identifiers_and_holds_name)
      617    0.003    0.000    0.213    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/series.py:5136(reindex)
      617    0.008    0.000    0.211    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/generic.py:5343(reindex)
    35472    0.030    0.000    0.210    0.000 {method 'any' of 'numpy.ndarray' objects}
     7906    0.140    0.000    0.206    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/dtypes/cast.py:1156(maybe_infer_to_datetimelike)
     1234    0.008    0.000    0.205    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexes/base.py:4323(reindex)
    21190    0.033    0.000    0.203    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/frame.py:678(_constructor_sliced_from_mgr)
     2169    0.089    0.000    0.202    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/managers.py:1707(_interleave)
   210182    0.084    0.000    0.201    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/dtypes/generic.py:42(_instancecheck)
     1851    0.007    0.000    0.201    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/generic.py:2149(__array__)
     3702    0.007    0.000    0.194    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/base.py:1200(is_classifier)
      617    0.002    0.000    0.192    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/groupby/ops.py:656(<listcomp>)
     2468    0.003    0.000    0.191    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/groupby/grouper.py:689(codes)
    34887    0.042    0.000    0.189    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/generic.py:339(_from_mgr)
     1234    0.004    0.000    0.188    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/groupby/grouper.py:777(_codes_and_uniques)
     1851    0.006    0.000    0.187    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/frame.py:1111(_values)
    34005    0.179    0.000    0.186    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/dtypes/cast.py:550(maybe_promote)
     1851    0.036    0.000    0.186    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/dummy.py:339(predict_proba)
    22693    0.076    0.000    0.182    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/numpy/_core/_dtype.py:350(_name_get)
    28611    0.058    0.000    0.181    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/generic.py:807(_set_axis)
    35472    0.022    0.000    0.181    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/numpy/_core/_methods.py:58(_any)
      848    0.019    0.000    0.179    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/managers.py:1782(_consolidate_inplace)
    95173    0.164    0.000    0.177    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexes/base.py:3777(get_loc)
      617    0.004    0.000    0.176    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/generic.py:5614(_reindex_axes)
     1851    0.006    0.000    0.176    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/_encode.py:203(_encode)
587660/585809    0.132    0.000    0.171    0.000 {built-in method builtins.getattr}
    32043    0.061    0.000    0.166    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/series.py:784(name)
      617    0.006    0.000    0.164    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/frame.py:9041(groupby)
    50674    0.089    0.000    0.163    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/blocks.py:2645(maybe_coerce_values)
     1234    0.013    0.000    0.161    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/groupby/groupby.py:1296(__init__)
      617    0.010    0.000    0.161    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/series.py:1624(reset_index)
    46392    0.088    0.000    0.160    0.000 /usr/lib/python3.10/warnings.py:181(_add_filter)
     1851    0.065    0.000    0.158    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/algorithms.py:548(factorize_array)
    43586    0.093    0.000    0.157    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/blocks.py:2716(new_block)
